,coef_on_log1p_SalePrice
Condition1_RRNn,-0.006920442641265906
Utilities,0.006904951132805988
SaleType_ConLD,0.00642171073022416
PavedDrive,0.00608154785827727
BsmtFinType1,0.005545934892140135
Exterior2nd_VinylSd,0.005446081811018914
MasVnrArea,0.005423148527071788
RoofStyle_Flat,0.005375327427550245
Exterior2nd_AsbShng,-0.00526046475137596
KitchenQual,0.005068777416307679
ExterQual,0.0049505810025193935
Condition2_Artery,-0.004935126485789837
BldgType_TwnhsE,0.004787369651950948
SaleCondition_Family,-0.004699495974308174
GarageType_CarPort,0.004288203194464677
LandSlope,0.004245315881961739
BsmtHalfBath,0.0041065690460540295
BsmtUnfSF,0.004101074838630123
GarageYrBlt,0.004041499710295554
Electrical_FuseF,0.003881020561237942
Exterior1st_HdBoard,0.0036803296631255783
YrSold,-0.0034047886431163646
Exterior2nd_Plywood,-0.0029859944450578795
LandContour_Lvl,0.0028252344333991033
BedroomAbvGr,0.002623929878056373
LotShape,-0.002555514087353196
HouseStyle_2Story,0.0025069465115608106
LandContour_Bnk,-0.0023851832644345844
TotRmsAbvGrd,0.002229368124223561
BsmtQual,0.0021388978853507414
Condition1_Feedr,-0.0020457129311227343
Neighborhood_OldTown,0.0016606491735881984
BsmtFinType2,0.001493079807863687
BsmtFinSF2,0.001287172269525296
LotConfig_FR2,0.001149944124053943
GarageType_BuiltIn,0.0010928665186566173
RoofMatl_CompShg,-0.001071481268154641
MoSold,-0.0010015092898630513
Electrical_SBrkr,-0.0007029645628103048
Neighborhood_Timber,-0.0006031980722425142
GarageFinish,-0.000539618767249693
Condition1_PosA,0.0005224242981397174
BsmtCond,-0.00019026022911958727
Neighborhood_ClearCr,0.00018966340217869363
Exterior1st_CBlock,0.00012611055794893182
Exterior2nd_CBlock,0.00012611055794849722
