,coef_on_log1p_SalePrice
BldgType_TwnhsE,0.002243597584107955
Foundation_Wood,-0.0022264466762625112
RoofStyle_Shed,0.002173682712768181
Condition2_Artery,-0.002089771914516994
Exterior2nd_AsbShng,-0.002082170608073076
GarageType_Attchd,0.0020552756569471252
Condition2_PosA,0.0020444819839993216
RoofStyle_Gambrel,0.002037617121394223
BsmtHalfBath,0.001977022429407432
Condition1_Feedr,-0.0019768178476049746
LotConfig_FR3,-0.0019007343816566215
Condition2_Feedr,0.001836575723305119
GarageYrBlt,-0.0018313673361494546
Condition1_RRNe,-0.0017903567695911691
Neighborhood_Sawyer,-0.0017370934638771328
Exterior2nd_Stone,0.0017019286666686963
GarageCond,-0.0016821496864636405
Exterior1st_VinylSd,0.0016312355307680129
SaleType_ConLw,-0.0015445800830549054
Condition2_RRNn,0.0015158476793178223
Exterior2nd_Wd Shng,-0.0015125246091082104
Condition2_RRAn,-0.0014890209886326555
Exterior1st_AsphShn,0.0014480865715523698
Neighborhood_Blueste,-0.0014316130965640063
SaleCondition_AdjLand,-0.0013982435428549044
RoofMatl_WdShake,0.0013647887520185573
BsmtCond,0.001274814286096009
HouseStyle_SFoyer,-0.0011659743653013588
RoofStyle_Hip,-0.0011291115701890892
Condition1_RRNn,-0.001116231112376394
Exterior2nd_Other,-0.0010816388603843668
Exterior1st_CBlock,-0.0009801976478103274
Exterior2nd_CBlock,-0.0009801976478103248
Exterior1st_Plywood,-0.0009046119755592886
Neighborhood_IDOTRR,-0.0008376938653348712
Exterior2nd_BrkFace,-0.0007975413315157079
BedroomAbvGr,-0.0007823840952002765
LandSlope,0.0007618517203629784
BldgType_Duplex,-0.0007493634809002324
BsmtUnfSF,0.0006617436838776948
GarageFinish,0.0005331999841757503
Exterior2nd_MetalSd,0.0002839577103970195
HouseStyle_2.5Unf,0.00021963531787913044
Exterior1st_ImStucc,0.00020438172243050597
MoSold,7.742778976860905e-05
